,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
AGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 & Under,99,11,117,43,687,156,22,41,60,617,448,0,0,16,572,229,91,81,174,400,4,154,59,143,77,93,144,14,79,37,6,123,69,222,332,4,389,35,46,184,0,10,159,15,362,463,0,52,1,247,104,11,135,2,166,16,173,88,747,174,14,38,62,583,481,0,0,22,568,217,79,167,235,391,3,179,65,130,72,101,217,14,59,57,3,111,75,199,343,5,372,23,62,186,1,9,132,10,415,581,1,67,1,239,102,18,111,4,165,11,227,113,882,181,27,50,120,587,427,0,0,16,667,283,81,131,243,446,6,228,41,174,72,131,250,9,63,110,5,144,82,214,407,5,430,20,57,231,1,3,144,9,393,666,0,78,1,235,113,23,105,0,146,19,250,175,991,191,28,30,126,735,494,0,0,25,546,238,68,115,230,470,4,239,56,211,80,182,259,16,80,99,7,160,79,266,449,6,519,41,72,222,0,6,218,28,462,917,0,103,4,269,87,10,147,12,178,7,277,155,1191,180,52,57,139,884,537,0,0,36,464,210,111,146,267,590,6,257,99,278,118,194,308,7,55,104,4,152,63,363,587,13,669,142,77,423,0,17,322,12,535,1139,0,91,2,334,86,16,210,11,233,36,358,149,1475,205,65,76,222,1109,801,0,1,31,691,398,115,201,341,742,12,358,120,368,142,261,378,22,86,123,10,235,58,371,722,10,767,55,99,518,8,17,517,20,612,1618,0,108,0,398,107,17,261,4
18 to 21,511,60,544,139,2981,294,74,115,271,1730,1209,0,3,69,1386,991,260,187,643,1119,26,752,217,556,264,347,573,23,196,159,15,359,162,636,1429,20,1175,139,190,720,59,58,533,33,1056,1869,9,135,14,1181,270,100,493,30,600,48,650,263,2882,345,82,102,218,1692,1370,0,2,74,1424,974,201,417,614,1126,13,689,216,577,249,362,716,18,162,267,23,349,165,665,1359,42,1035,108,260,664,58,58,532,49,1056,1952,8,153,16,1124,267,83,456,10,716,76,763,329,2755,386,110,117,347,1603,1271,0,0,79,1724,1020,249,282,674,1228,23,682,221,628,248,452,808,20,156,347,30,360,250,669,1528,48,1208,74,269,794,92,39,632,41,1127,2125,5,206,15,1110,326,80,386,13,817,47,966,423,3393,456,118,146,370,2282,1573,0,0,87,1534,936,254,324,630,1348,33,881,240,1483,343,554,789,48,205,397,41,458,298,931,1867,43,1821,110,301,960,51,53,898,34,1391,3247,22,236,10,1434,317,96,582,18,983,54,835,462,4391,441,196,202,329,2845,1758,0,0,80,1479,819,253,446,733,1713,24,870,272,1474,355,511,909,22,178,442,34,470,284,1283,2416,36,2221,318,280,1270,48,104,1078,36,1570,4229,0,262,16,1404,230,73,744,32,1084,87,1197,431,4449,476,166,186,478,2761,1944,0,0,82,1449,1005,273,535,813,1944,17,1104,279,1077,408,642,990,37,197,366,86,499,172,1343,2765,53,1940,171,242,1385,128,68,1357,61,1791,5227,0,265,25,1357,227,107,833,14
22 to 24,442,77,536,100,2748,342,76,112,203,1469,1204,2,5,70,1262,755,173,131,524,908,17,598,182,664,240,352,568,15,139,171,27,352,162,635,1323,33,1232,92,202,691,85,68,442,23,793,1738,3,99,17,949,300,88,565,8,546,51,593,202,2597,330,86,103,220,1403,1175,0,4,79,1586,728,146,272,583,979,19,714,152,590,237,315,652,27,148,259,26,306,202,507,1315,40,997,74,338,603,65,49,458,39,846,1859,11,151,8,1031,350,83,477,7,621,84,709,178,2615,294,77,91,219,1566,1241,1,8,76,1412,719,179,203,485,986,35,540,163,614,256,327,677,21,140,354,26,254,217,565,1361,41,1062,78,309,594,112,50,463,42,823,1812,1,136,7,930,333,98,458,12,717,44,822,345,3164,421,87,142,217,1930,1511,0,9,79,1409,708,251,257,449,1019,23,695,173,1481,296,423,650,22,188,445,40,294,251,642,1545,68,1624,81,300,850,38,50,839,35,1038,2470,22,173,15,1073,275,103,578,19,913,42,1013,320,3930,376,121,160,251,2743,1585,1,6,91,1299,582,240,319,612,1195,31,780,249,1361,339,397,822,35,119,410,72,358,234,1007,2151,60,2124,242,338,1239,64,88,919,47,1290,3551,8,199,22,1224,253,85,712,10,891,89,893,285,3803,440,154,160,406,2442,1760,2,1,71,1412,700,263,349,541,1451,18,916,292,934,392,413,702,41,128,383,49,375,128,1018,2295,52,1691,122,298,1389,198,82,958,134,1319,4329,0,194,11,1404,352,135,688,10
25 to 30,691,170,936,205,5545,645,147,219,279,2660,2169,5,8,250,1967,1341,307,324,781,1445,47,1076,317,1078,439,632,1006,59,303,408,34,563,279,1139,2144,83,1994,270,547,1185,146,106,812,129,1331,3138,12,242,13,1528,688,234,939,22,937,122,1217,310,5722,645,168,265,316,3043,2359,3,13,199,2071,1385,298,473,1028,1505,54,1240,356,1081,533,573,1222,85,267,495,64,538,429,1185,2474,116,2073,217,599,1226,158,87,871,91,1567,3633,8,252,45,1636,608,275,867,19,1023,208,1195,347,5830,736,186,215,393,2835,2370,2,14,165,2407,1356,331,449,894,1683,46,1097,340,1213,518,549,1436,57,232,700,52,559,484,1282,2428,114,2015,188,619,1355,173,81,872,78,1590,3271,6,272,32,1642,582,288,841,19,1133,112,1320,485,6669,797,172,188,446,3352,2903,5,7,168,2311,1160,393,486,922,1748,55,1283,312,2478,587,642,1527,82,275,865,104,643,526,1240,2614,106,2957,182,730,1557,52,82,1301,90,1889,4316,16,329,69,1773,676,211,1062,30,1378,136,1486,569,8308,828,278,280,480,4667,2829,0,7,176,2241,1077,321,577,957,1797,51,1484,417,2583,632,668,1473,90,275,893,78,667,471,1491,3485,97,3583,469,711,2191,106,150,1672,69,2238,5766,3,415,42,1817,688,208,1175,30,1526,181,1730,447,7875,898,298,259,654,4222,2908,1,10,122,2259,1147,426,584,1133,2267,45,1607,474,1810,719,689,1236,53,192,801,117,686,245,1871,3526,130,2747,289,672,2294,537,149,1679,87,2010,6152,2,366,48,2085,695,216,1316,28
31 to 40,882,194,1078,316,7011,900,180,168,181,2751,2300,2,16,245,1636,1442,335,372,924,1402,64,1358,223,1000,593,790,1133,211,287,401,56,525,421,1293,1832,122,1920,994,841,1192,151,79,736,115,1396,3495,13,305,22,1573,835,441,790,37,955,202,1688,411,7404,948,265,211,174,3123,2295,8,46,271,1867,1430,553,668,1230,1647,72,1512,290,909,561,788,1436,225,433,732,87,591,477,1214,2047,106,1955,465,932,1266,120,83,847,126,1611,4332,9,376,33,1573,870,367,893,29,1143,279,1488,531,7461,956,226,224,255,3669,2595,10,56,308,2199,1499,452,541,1351,1716,73,1676,220,1096,638,620,1522,147,368,887,65,668,527,1352,2400,111,2348,314,948,1410,108,93,965,114,1825,4066,6,382,33,1755,1021,410,937,60,1228,239,1624,600,8210,1289,205,244,292,3424,2832,14,34,249,2065,1283,472,572,894,1893,108,1431,267,1611,804,659,1506,280,396,1055,126,577,590,1206,2553,168,2937,253,1054,1675,65,91,1285,73,1776,5430,17,534,116,1918,988,446,1083,35,1424,163,1621,649,10480,1270,268,307,345,4776,3060,10,26,339,1995,1140,417,789,1183,2645,94,1900,544,2067,809,675,1607,212,303,1000,171,725,735,1817,3448,180,3693,673,1124,2429,122,136,1661,79,2108,6344,1,556,51,2058,1032,442,1280,54,1513,295,2111,554,11186,1312,471,302,464,4752,3328,6,32,457,2223,1287,534,765,1415,2383,143,1879,511,1790,1155,919,1508,280,330,1084,118,898,451,2191,3803,193,3619,533,1111,2649,845,416,1838,133,2565,7338,2,502,75,2683,975,426,1462,64
41 to 50,514,69,582,157,4275,386,127,77,58,1578,913,22,6,202,869,826,214,154,573,685,71,1031,194,813,320,299,488,141,119,239,20,293,154,546,1143,43,863,172,405,765,79,39,369,89,630,1871,5,209,20,832,467,153,323,27,446,112,641,248,4088,550,194,117,68,1754,1046,9,13,136,811,743,241,310,573,760,40,1368,173,729,438,338,599,89,149,419,63,297,211,620,1037,56,1236,197,627,886,80,95,415,86,738,2173,3,224,18,900,566,293,442,36,539,87,757,251,4283,502,161,126,99,1789,1193,6,61,143,1007,705,305,268,720,827,65,1085,147,686,328,283,686,126,182,457,21,367,273,632,1142,53,1038,198,728,1193,64,29,459,60,1051,2045,2,280,37,1005,518,208,374,67,601,52,801,268,4799,587,135,131,95,1933,1279,0,26,137,928,1194,170,207,471,722,55,1200,137,779,236,296,743,106,230,510,79,293,263,478,1190,52,1163,243,631,889,47,13,659,43,837,2433,2,308,32,981,529,203,351,25,706,77,1073,299,5537,668,142,146,130,2828,1286,18,16,189,821,648,292,441,614,885,45,1107,215,856,326,326,772,295,281,492,120,431,527,772,1673,78,1706,408,634,1141,44,50,808,54,1073,3261,3,352,36,1186,612,293,558,28,1419,177,1292,341,6733,771,159,227,175,2791,1516,4,16,215,994,784,279,440,886,1232,56,1072,275,907,404,440,1023,119,196,511,69,383,247,1167,1884,107,1767,373,626,1597,801,113,909,88,1379,3894,1,459,24,1572,530,229,693,51
Over 50,351,53,1065,185,4948,424,258,144,50,2220,1089,0,12,196,918,664,174,286,694,1149,54,1382,155,841,296,289,419,66,208,220,32,394,155,840,1226,13,1003,195,962,964,63,37,353,72,665,1724,1,154,13,993,669,135,366,31,317,73,1453,178,5741,453,348,71,116,2537,1061,8,10,284,989,707,198,276,564,658,89,1760,251,576,468,408,684,130,292,411,32,428,228,805,1283,42,884,190,768,1032,35,58,461,124,727,2585,0,188,85,960,496,178,412,20,709,52,977,236,6178,613,171,140,94,2470,1014,4,44,211,1075,609,148,199,612,842,139,1514,183,661,437,238,507,81,194,859,86,391,429,641,1736,141,1108,220,1087,1124,45,27,587,74,808,1780,3,343,11,1126,869,215,423,31,447,98,1005,268,4798,685,102,151,124,2263,907,1,11,209,762,462,179,191,461,659,116,1259,119,801,327,244,503,299,202,483,117,415,240,508,1229,58,1046,119,759,1270,17,27,539,48,852,1972,2,267,34,973,585,545,357,18,474,45,788,206,5420,487,143,217,70,3107,1023,7,28,170,929,617,222,357,811,837,114,1101,253,823,258,325,659,143,300,477,60,399,381,780,1668,45,1349,242,753,1485,12,40,626,98,753,2226,2,296,16,1025,514,141,431,35,618,82,1060,306,5742,590,141,149,94,3116,1075,1,5,157,1240,1149,207,414,678,1168,903,1435,224,944,342,255,593,105,145,409,93,515,154,1045,1712,43,2041,240,815,1527,1459,49,649,67,1297,2612,0,333,51,1158,524,438,510,75
