,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
0,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL
CALIBERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9mm,1871,206,1631,381,8454,1290,267,328,661,6180,4741,9,16,278,4454,2446,538,832,1550,2651,78,1607,493,1681,939,1038,2080,119,390,1611,77,994,529,1949,3677,97,3947,671,887,2891,203,114,1763,117,2976,7970,31,414,25,3041,1050,366,1527,60,84196,2022,166,2286,640,9297,1527,307,356,682,7227,5370,6,31,324,4812,2705,642,1083,1773,3002,113,2125,529,1683,1007,1132,2884,156,467,1165,148,1092,696,1799,4167,159,4401,815,1075,3119,247,123,2063,145,3512,8945,27,596,45,3484,1319,399,1688,49,95632,2467,261,2902,962,10339,1772,377,387,824,8184,6213,5,37,329,5790,3011,667,1065,2038,3542,111,2232,568,2160,1209,1318,3788,132,532,2030,110,1188,1000,2020,5152,167,5111,806,1213,3674,308,113,2467,156,4063,9874,27,771,45,4002,1459,542,1765,67,111352,2879,188,4342,1268,13633,2268,373,614,919,10621,7998,7,23,373,6438,3658,859,1440,2314,4120,148,2653,660,4944,1524,1778,3682,217,693,2677,223,1370,1258,2271,6716,211,7311,1244,1422,5106,139,150,3682,203,5003,15224,79,983,81,5052,1608,545,2537,86,145815,3851,208,5215,1472,21437,2688,647,778,1204,14889,9708,12,21,486,9444,4799,1116,1764,2936,5727,176,3689,1338,5863,2159,2074,4361,272,731,3319,242,1905,1577,3906,9554,240,10531,2129,1795,6895,324,299,4872,256,6679,21189,31,1206,72,5442,1866,586,3575,79,197634,4597,384,6257,1486,22580,3377,824,843,1621,16508,11578,10,54,508,10031,5315,1536,2016,3247,7498,205,4708,1630,4748,2443,2421,4635,348,896,3026,267,2388,1679,4969,11331,308,10242,2350,1932,7898,2057,426,5573,318,7505,27952,24,1473,86,6473,2329,705,4121,94,227830
.40 Cal,849,114,677,170,4251,544,110,111,382,2471,2163,2,7,114,1885,1091,204,360,664,1672,31,825,220,995,365,479,1026,41,159,570,24,402,199,545,1630,56,1656,254,302,1227,354,55,853,45,1510,3828,26,145,10,1365,432,149,667,25,38311,926,106,886,289,4235,581,105,93,373,2625,2324,1,9,125,1854,1123,196,420,737,1676,25,919,199,936,388,549,1271,78,152,339,31,401,239,556,1665,45,1597,344,370,1185,289,49,960,63,1659,3947,29,174,18,1408,516,124,676,27,39912,1008,154,1005,355,4351,630,143,130,454,2762,2299,2,8,99,1945,1090,212,353,681,1647,32,949,210,1017,365,551,1509,50,155,493,34,424,363,584,1827,51,1563,328,376,1263,410,47,914,50,1657,3909,25,227,12,1399,481,146,572,26,41347,957,62,1210,411,4738,643,129,149,426,3130,2621,2,5,93,2012,1078,216,391,665,1655,42,926,237,1547,412,631,1380,71,187,616,32,436,377,629,2007,47,2056,401,362,1364,149,49,1126,60,1847,4938,58,259,13,1555,461,150,777,19,45814,1043,73,1119,411,5504,676,158,139,396,3573,2431,2,4,95,2325,1116,198,450,693,1757,21,969,281,1521,404,530,1348,72,148,619,40,453,317,830,2328,49,2178,541,430,1387,241,69,1151,45,1933,5321,26,228,14,1409,407,146,699,17,48335,1219,118,1215,361,5493,694,202,121,518,3474,2572,2,6,105,2376,1202,194,470,697,2049,27,1046,329,1166,399,609,1298,78,181,473,39,507,336,859,2333,55,1867,562,388,1557,960,86,1162,60,1886,5878,21,239,25,1635,483,128,718,16,50494
.22 Cal,717,128,751,225,5765,600,245,97,125,2060,1338,6,32,212,1378,817,404,384,657,1092,51,1269,230,609,499,607,629,143,293,515,37,485,279,1321,1789,79,1307,363,786,1148,17,61,679,117,1183,2540,10,293,27,939,752,329,512,49,36980,635,143,792,281,5683,585,187,130,161,2317,1292,3,26,226,1311,904,395,397,620,865,45,1685,273,477,526,505,794,135,311,363,45,482,300,1046,1689,95,1249,344,782,1204,8,75,644,138,1143,2457,4,287,43,924,685,285,462,35,36493,722,110,893,515,5193,602,164,136,93,2039,1327,7,29,209,1292,703,345,292,777,925,68,1185,218,487,537,402,795,131,231,491,39,507,383,832,1791,96,1242,349,842,1241,11,43,646,109,1050,2259,4,351,34,979,752,316,459,43,35296,740,99,963,352,4874,669,139,142,89,2038,1376,1,22,177,1065,733,344,357,517,906,81,1031,169,667,435,438,678,246,289,510,60,422,377,812,1905,140,1220,334,819,1454,1,41,699,125,996,2687,5,346,42,865,678,348,472,31,35026,674,102,934,323,4989,641,149,158,70,2299,1395,3,13,163,1174,805,307,426,446,1033,65,861,291,651,388,397,665,175,368,485,72,421,459,966,1861,112,1392,493,723,1286,6,50,792,129,1039,2747,1,389,42,898,638,197,531,49,35743,731,110,1095,289,4914,650,161,153,94,2303,1333,8,25,236,1130,815,269,333,633,1000,297,885,298,544,413,384,526,180,217,420,100,416,343,1126,1886,121,1261,516,736,1522,200,106,748,147,1133,3068,0,365,35,966,680,274,545,44,36784
.380 Cal,641,68,401,149,2166,399,89,102,208,2337,1707,0,4,90,1148,821,175,220,555,923,28,467,194,472,278,480,603,30,97,424,21,330,195,934,1371,29,1386,202,311,925,13,44,758,38,1122,2787,9,138,7,848,383,171,434,14,27746,692,56,560,270,2127,443,120,79,163,2620,1780,1,8,89,1467,748,250,284,598,857,25,637,174,496,241,401,753,41,130,306,34,326,217,841,1451,36,1384,257,343,955,24,45,829,33,1213,2993,4,201,13,823,399,166,468,8,29479,769,86,571,325,1931,452,116,93,140,2546,1788,0,2,71,1164,785,204,274,633,873,34,459,204,548,293,398,807,42,124,378,28,357,254,805,1515,43,1390,249,336,1011,30,26,716,38,1218,2709,3,184,7,898,396,211,503,16,29053,782,48,757,318,2002,486,103,86,117,2729,1697,1,2,88,1053,683,226,262,558,795,47,453,197,703,286,365,706,39,161,414,49,349,223,852,1674,49,1485,287,340,1042,8,32,885,39,1066,3218,7,225,16,828,388,175,487,15,29903,735,40,733,260,2034,522,129,108,118,3015,1509,0,3,97,1101,715,174,292,490,838,29,421,228,771,268,331,684,45,137,424,32,367,235,1065,1623,49,1560,435,318,944,13,52,861,51,1095,3289,2,226,12,740,359,157,513,14,30263,804,79,725,228,1957,496,121,111,125,2815,1533,4,3,89,1025,676,220,251,524,847,45,470,238,541,318,362,625,54,139,337,38,328,230,1134,1619,52,1527,435,344,930,176,53,905,56,1057,3838,2,238,17,715,359,165,519,18,30517
.45 Cal,449,149,566,106,3479,526,97,89,190,1491,1051,2,8,97,1224,646,151,277,355,712,28,519,144,473,263,259,518,59,130,423,16,320,191,503,1054,51,910,190,333,766,79,45,416,57,696,2194,15,139,5,790,448,108,404,31,24242,368,107,723,154,3276,503,114,79,166,1567,1126,1,14,113,1085,696,194,293,404,692,36,650,145,444,292,265,682,78,137,273,34,279,245,478,1048,60,935,228,360,808,70,29,476,50,782,2306,10,152,16,761,400,123,381,12,24720,388,141,720,202,3201,494,117,55,212,1624,1030,4,7,109,1181,614,177,249,435,741,35,612,140,502,298,197,788,70,134,487,29,314,282,478,1083,53,939,198,383,786,81,32,453,46,720,2078,7,164,11,781,448,125,333,22,24810,424,87,919,204,3473,569,95,86,218,1764,1120,1,12,105,1165,610,169,296,346,668,46,574,145,818,305,246,738,114,135,485,36,304,309,423,1193,61,1099,227,396,910,38,27,541,53,780,2654,21,211,12,914,441,103,391,28,27109,447,80,858,230,3721,617,126,90,198,1989,1101,1,6,120,1300,618,127,299,435,740,36,607,212,744,286,211,728,85,140,468,40,311,281,522,1399,53,1199,393,346,911,51,34,585,54,911,2935,3,218,16,815,424,94,401,24,28640,475,119,1013,193,3789,618,143,85,257,2006,1077,3,16,93,1263,670,201,318,392,787,70,614,244,604,353,216,714,116,136,383,33,278,283,557,1383,61,1139,365,344,953,248,71,621,55,869,3135,1,251,19,957,402,100,464,23,29580
12GA,348,75,454,84,3557,305,113,84,65,1026,610,3,14,116,574,394,207,198,367,530,40,1073,91,417,348,294,281,68,199,308,31,226,143,645,1087,70,630,108,361,653,22,18,375,69,527,1652,3,110,18,612,447,155,237,17,20459,316,95,438,101,3382,361,111,109,63,1166,591,7,20,98,506,399,233,175,237,472,46,1212,117,352,365,220,325,75,226,203,33,242,154,491,1084,65,587,155,383,676,12,35,374,76,639,1578,5,129,27,473,380,129,248,14,20010,369,84,481,229,3224,348,77,91,36,1040,651,3,22,91,578,404,240,124,361,466,45,1080,78,369,352,179,362,64,167,227,36,232,218,431,1047,60,569,166,430,693,4,36,330,51,550,1409,0,156,20,609,396,123,264,25,19697,324,63,487,128,3137,356,40,107,29,1023,651,0,10,73,410,366,173,177,231,454,66,867,57,372,268,178,260,102,178,284,46,198,196,317,1124,80,512,169,390,670,2,20,400,60,467,1603,2,184,27,506,407,170,244,13,18678,282,68,520,124,2833,382,66,111,33,1192,615,7,8,80,560,384,164,190,174,528,27,831,146,353,286,172,336,88,180,265,56,211,226,438,1214,68,554,232,337,649,2,27,414,78,414,1552,1,188,21,505,428,82,267,20,18989,334,63,577,115,3129,406,71,84,47,1173,587,3,25,97,541,370,156,208,278,528,114,821,120,386,303,182,250,83,154,210,50,225,223,540,1251,65,628,204,347,817,158,52,452,64,590,1777,0,184,27,571,431,146,263,25,20505
.38 Cal,458,28,297,75,2836,237,88,69,140,1549,916,0,11,50,1003,511,85,116,330,623,15,434,134,504,121,303,339,28,79,303,10,374,104,777,923,10,772,69,236,763,43,25,414,18,802,1487,14,63,5,526,264,80,180,10,19651,388,22,375,127,2736,235,100,43,135,1455,892,4,9,42,826,470,104,138,325,612,11,613,131,304,159,227,390,30,72,176,14,375,112,630,861,15,706,98,229,685,46,28,435,14,707,1631,6,72,5,493,247,88,192,15,18855,451,20,328,174,2614,206,83,61,93,1445,906,3,10,58,817,424,91,107,391,570,10,454,129,365,139,254,406,20,71,270,6,350,162,566,824,23,743,71,222,678,31,25,336,28,690,1338,4,72,6,458,226,94,169,7,18099,430,13,285,127,2383,244,79,55,74,1394,852,4,6,66,636,360,98,125,255,460,14,390,99,360,101,165,316,32,74,242,19,280,160,475,842,25,621,124,219,677,6,26,399,25,619,1451,7,71,9,449,200,100,161,10,16714,382,15,293,103,2375,223,81,42,60,1423,718,1,2,50,692,359,67,140,227,490,22,317,144,337,121,150,302,21,67,199,33,250,115,600,835,28,710,194,219,547,18,28,398,36,567,1398,2,84,5,342,184,79,184,13,16292,404,27,295,82,2280,231,76,47,67,1320,758,2,7,59,593,335,77,110,279,447,136,353,123,309,116,174,274,32,48,180,11,280,123,616,783,16,605,185,203,484,354,30,403,20,556,1386,1,82,7,407,253,89,175,13,16323
