,incident_id,victim_id,age,race,sex,vorelationship
1629,318,1630,39.0,White,Female,Spouse
1630,318,1631,10.0,White,Male,Child or stepchild
1631,318,1632,10.0,White,Male,Child or stepchild
1632,318,1633,7.0,White,Female,Child or stepchild
1633,319,1634,37.0,White,Female,Undetermined
1634,319,1635,16.0,White,Male,Undetermined
1635,319,1636,16.0,White,Male,Undetermined
1636,319,1637,43.0,White,Male,Undetermined
1637,320,1638,36.0,Black,Male,Random bystander/stranger
1638,320,1639,30.0,Black,Male,Random bystander/stranger
1639,320,1640,32.0,Black,Male,Random bystander/stranger
1640,320,1641,35.0,Black,Male,Random bystander/stranger
1641,321,1642,65.0,Black,Female,Relative of a known person
1642,321,1643,27.0,Black,Female,Relative of a known person
1643,321,1644,42.0,Black,Female,Dating relationship
1644,321,1645,5.0,Black,Male,Relative of a known person
1650,323,1651,61.0,Black,Female,Friend
1651,323,1652,56.0,,Male,Friend
1652,323,1653,40.0,Black,Male,Criminal associate
1653,323,1654,56.0,,Male,Criminal associate
1654,324,1655,67.0,White,Female,Individual with some non-blood/marriage relationship to a known person
1655,324,1656,62.0,White,Female,Individual with some non-blood/marriage relationship to a known person
1656,324,1657,43.0,White,Female,Individual with some non-blood/marriage relationship to a known person
1657,324,1658,40.0,White,Male,First responder
1662,326,1663,28.0,Black,Male,Other
1663,326,1664,20.0,Black,Male,Other
1664,326,1665,19.0,Black,Male,Other
1665,326,1666,32.0,Black,Male,Other
1670,328,1671,70.0,White,Female,Random bystander/stranger
1671,328,1672,62.0,White,Male,Random bystander/stranger
1672,328,1673,57.0,White,Male,Random bystander/stranger
1673,328,1674,84.0,White,Female,Random bystander/stranger
1674,328,1675,69.0,White,Female,Random bystander/stranger
1675,329,1676,48.0,Black,Female,Sibling
1676,329,1677,64.0,Black,Female,Parent or stepparent
1677,329,1678,65.0,Black,Male,Individual with some non-blood/marriage relationship to a known person
1678,329,1679,42.0,Black,Male,Dating relationship
1694,333,1695,36.0,White,Male,First responder
1695,333,1696,18.0,Black,Male,Relative of a known person
1696,333,1697,11.0,Black,Male,Relative of a known person
1697,333,1698,55.0,Black,Female,In-law
1698,333,1699,53.0,Black,Female,In-law
1699,333,1700,35.0,Black,Female,In-law
1700,333,1701,45.0,Black,Male,Relative of a known person
1701,333,1702,46.0,Black,Female,Relative of a known person
1702,334,1703,57.0,White,Male,Co-worker or employer
1703,334,1704,69.0,White,Male,Co-worker or employer
1704,334,1705,44.0,Hispanic/Latino,Female,Co-worker or employer
1705,334,1706,53.0,White,Male,Co-worker or employer
1706,334,1707,46.0,White,Male,Co-worker or employer
1707,335,1708,49.0,Hispanic/Latino,Female,Parent or stepparent
1708,335,1709,55.0,Hispanic/Latino,Male,Parent or stepparent
1709,335,1710,20.0,Hispanic/Latino,Male,Sibling
1710,335,1711,61.0,White,Male,Random bystander/stranger
1711,335,1712,59.0,Hispanic/Latino,Male,Random bystander/stranger
1717,337,1718,72.0,White,Female,Random bystander/stranger
1718,337,1719,88.0,White,Male,Random bystander/stranger
1719,337,1720,76.0,White,Male,Random bystander/stranger
1720,337,1721,67.0,White,Female,Random bystander/stranger
1721,338,1722,18.0,Black,Male,Individual with some non-blood/marriage relationship to a known person
1722,338,1723,56.0,Black,Female,Acquaintance
1723,338,1724,20.0,Black,Male,Acquaintance
1724,338,1725,10.0,Black,Male,Acquaintance
1729,340,1730,27.0,White,Female,Ex-spouse
1730,340,1731,31.0,Black,Male,Friend
1731,340,1732,33.0,White,Male,Individual with some non-blood/marriage relationship to a known person
1732,340,1733,24.0,White,Female,Individual with some non-blood/marriage relationship to a known person
1733,340,1734,29.0,White,Male,Friend
1734,340,1735,22.0,Black,Male,Individual with some non-blood/marriage relationship to a known person
1735,340,1736,28.0,Black,Female,Individual with some non-blood/marriage relationship to a known person
1736,340,1737,25.0,White,Male,Individual with some non-blood/marriage relationship to a known person
1737,341,1738,21.0,Hispanic/Latino,Male,Criminal associate
1738,341,1739,28.0,White,Female,Individual with some non-blood/marriage relationship to a known person
1739,341,1740,24.0,Hispanic/Latino,Male,Criminal associate
1740,341,1741,27.0,Hispanic/Latino,Male,Criminal associate
1741,342,1743,54.0,White,Male,Random bystander/stranger
1742,342,1744,28.0,White,Male,Random bystander/stranger
1743,342,1745,46.0,White,Female,Random bystander/stranger
1744,342,1746,35.0,White,Male,Random bystander/stranger
1745,342,1747,34.0,White,Female,Random bystander/stranger
1746,342,1748,29.0,White,Male,Random bystander/stranger
1747,342,1749,44.0,White,Male,Random bystander/stranger
1748,342,1750,50.0,White,Female,Random bystander/stranger
1749,342,1751,22.0,Hispanic/Latino,Female,Random bystander/stranger
1750,342,1752,48.0,Hispanic/Latino,Female,Random bystander/stranger
1751,342,1753,35.0,Hispanic/Latino,Female,Random bystander/stranger
1752,342,1754,58.0,White,Female,Random bystander/stranger
1753,342,1755,55.0,White,Male,Random bystander/stranger
