,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
TIME-TO-CRIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 3 Months,379,29,443,51,1143,289,23,75,49,1056,915,0,2,65,631,504,115,160,314,460,17,275,47,348,184,219,501,25,94,375,23,104,89,161,677,27,698,73,172,515,20,17,352,24,464,1597,3,88,7,775,190,72,402,3,465,34,723,138,991,380,19,52,61,1055,1063,1,2,75,588,536,96,167,412,521,25,258,46,372,160,276,686,38,89,260,29,94,136,224,791,51,718,138,246,542,28,18,426,38,614,2189,2,103,10,872,241,117,380,13,522,52,885,152,1034,330,35,71,83,1095,1145,0,2,70,689,607,132,183,399,602,16,237,42,436,154,306,708,25,112,482,29,107,226,205,1002,39,905,136,285,612,37,10,615,39,635,2343,5,118,12,920,204,127,351,18,812,50,1625,405,1927,597,35,190,109,2143,2331,1,1,98,1150,1069,268,325,648,1245,47,436,79,2528,306,623,954,78,184,790,59,198,364,323,1819,72,2238,369,406,1306,17,35,1138,46,1309,4418,19,191,21,1702,299,160,776,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863,79,1615,271,1495,532,65,124,95,2000,1904,0,6,84,990,975,293,316,500,1215,31,352,160,762,316,488,835,56,152,488,47,141,255,399,1809,67,1584,419,235,985,243,40,1019,66,1115,5451,1,204,25,1127,290,135,700,26
3 Months to Under 7 Months,347,33,261,66,1309,253,15,57,71,1004,797,2,1,43,668,451,107,155,248,535,23,245,62,287,150,184,444,21,69,278,23,101,94,175,656,21,622,66,144,478,21,21,339,25,451,1266,1,65,10,649,173,71,344,13,348,29,512,127,1025,291,36,51,80,1051,881,0,3,62,697,456,98,165,301,457,28,227,46,284,159,215,577,23,86,190,20,100,139,186,715,38,616,163,200,447,31,17,390,32,559,1706,1,82,5,743,172,74,331,13,443,45,541,120,1108,300,29,45,89,959,956,0,1,42,681,501,106,161,325,542,19,230,40,329,160,211,644,26,79,334,19,77,178,179,800,31,724,127,212,490,38,13,506,26,618,1561,1,79,9,741,181,92,311,18,636,44,1085,282,1626,468,50,119,108,1801,1883,0,2,71,1049,763,206,270,472,957,44,415,91,1357,287,435,805,43,135,557,50,195,310,330,1439,42,1596,256,311,928,12,34,944,35,1107,3416,9,185,24,1172,271,146,580,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,49,1134,279,1789,547,83,109,157,1978,1813,5,7,71,1116,833,262,268,461,1189,34,347,149,692,267,352,771,52,139,380,34,171,258,391,1756,58,1341,359,236,947,293,202,934,51,1084,4451,2,190,12,992,309,122,615,14
7 Months to Under 1 Year,359,39,331,61,1391,263,17,62,82,1031,873,0,3,50,668,479,114,144,297,501,21,233,70,296,148,209,425,26,68,323,11,90,104,180,639,26,603,68,158,524,30,18,347,20,521,1294,4,78,6,655,181,80,342,9,395,40,433,104,1181,286,42,43,75,1104,984,0,3,77,699,447,110,176,316,539,22,300,60,265,171,209,573,41,96,197,33,107,128,196,780,36,697,121,215,514,25,10,392,24,598,1637,2,89,6,704,198,76,299,7,401,50,492,107,1183,250,42,59,75,1089,1018,1,0,57,718,520,98,141,288,546,13,280,65,333,179,225,720,24,62,338,12,83,180,213,847,39,695,116,189,480,52,9,424,21,587,1565,6,115,6,645,230,95,260,13,454,31,725,164,1270,342,29,102,98,1324,1120,0,1,46,765,500,110,231,307,633,17,302,63,537,205,257,606,58,109,352,32,132,211,194,1039,35,958,178,216,578,9,13,611,29,722,2284,5,136,16,789,194,74,340,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,62,1084,256,2256,531,95,128,175,2346,1974,0,6,75,1581,844,270,314,496,1346,27,487,174,740,356,438,856,66,129,453,36,243,274,502,1906,60,1676,344,289,1177,348,50,1012,68,1338,4720,2,230,16,1172,329,94,691,13
1 Year      to Under 2 Years,687,91,637,137,2657,468,66,120,179,2076,1796,3,8,113,1375,979,221,309,621,980,38,474,154,531,320,407,750,55,152,534,22,211,191,441,1292,55,1277,180,295,890,53,35,682,46,1058,2731,7,144,8,1025,366,130,568,21,768,75,839,221,3002,536,79,122,184,2349,1814,0,5,101,1433,941,207,403,632,1090,35,639,133,561,350,408,1026,108,145,331,48,214,254,407,1474,50,1344,251,373,943,58,39,790,57,1143,3073,3,179,17,1161,415,136,651,10,802,103,874,248,2614,563,72,121,217,2475,1817,0,9,111,1549,916,226,309,639,1062,43,574,124,622,341,411,1164,64,172,557,43,226,331,434,1634,66,1409,212,392,913,106,41,765,44,1233,2963,4,209,8,1223,446,132,540,15,768,56,927,282,2301,540,67,131,197,2347,1887,0,1,87,1436,765,190,317,518,925,31,552,120,761,341,439,1054,71,142,521,53,227,301,395,1601,67,1424,296,336,906,36,34,932,50,1105,3616,11,207,20,1158,390,229,505,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645,127,2020,509,5291,1163,197,267,432,5220,4180,1,21,161,3343,1869,486,616,1092,2621,67,1148,363,1966,779,920,1560,149,260,979,91,586,535,1351,3944,113,3520,785,612,2425,474,143,2016,95,2536,8761,5,439,39,2341,716,234,1309,45
2 Years     to Under 3 Years,430,95,457,113,1906,352,55,68,121,1444,1127,0,4,78,959,641,142,218,377,612,22,407,115,361,243,210,483,52,79,332,19,194,147,336,933,35,917,151,223,564,46,26,450,37,746,2121,9,91,7,660,278,104,339,12,550,61,601,160,2284,442,62,99,133,1873,1405,0,4,86,1094,738,199,296,446,824,28,546,100,455,256,365,717,53,145,241,32,205,173,394,1116,50,1008,203,316,733,59,28,636,60,929,2379,4,149,9,785,348,127,397,18,655,85,634,217,2613,460,71,101,183,2176,1478,0,3,88,1251,742,220,273,509,857,38,556,100,481,327,331,896,41,153,441,20,226,251,375,1317,58,1118,180,304,832,66,26,587,44,1011,2445,2,188,7,881,363,125,477,15,564,41,677,235,2125,438,77,81,163,2195,1474,0,5,86,1142,613,160,235,384,750,28,485,116,617,275,310,771,61,142,400,39,199,235,392,1277,44,1130,215,288,743,32,19,714,44,951,2824,9,193,16,832,353,123,417,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026,99,1321,317,3067,661,109,163,243,3310,2429,0,8,130,1633,1008,276,401,687,1459,40,734,198,1117,391,494,1043,88,223,531,49,385,306,819,2264,61,1998,537,481,1270,264,84,1202,61,1614,5267,3,294,23,1452,474,161,719,23
3 Years and Over,2741,572,2853,704,18449,2175,514,448,962,10023,6399,14,72,608,6015,3460,955,1261,2340,4955,164,4197,853,2704,1660,1790,2434,388,759,2268,116,1875,948,4214,6697,232,5806,1043,2002,4590,410,195,2742,303,4503,12774,63,834,61,3939,2476,849,1919,148,2658,515,3218,1048,18412,2394,745,483,912,10963,6614,13,82,602,5822,3633,1120,1520,2223,4457,169,4967,895,2681,1790,1823,3074,419,832,1279,195,1917,1050,3635,6515,266,5893,1279,2275,4979,450,239,2946,268,4716,12493,47,984,102,3837,2434,803,2056,109,3219,544,3770,1124,18210,2542,633,522,902,11324,6973,13,92,612,6505,3730,1161,1317,2807,5003,237,4600,883,3060,1856,1610,3563,374,806,2184,166,1966,1441,3512,7294,315,6265,1343,2442,5432,506,190,2977,267,5191,12336,40,1207,86,4345,2537,744,2161,135,2991,397,3910,1316,18102,2757,523,554,897,12508,7070,17,48,580,5987,3385,1110,1576,2131,4607,296,4068,822,3606,1799,1704,3509,571,974,2395,278,1815,1368,3206,7384,355,6583,1405,2414,5400,226,186,3560,267,5071,14743,77,1307,130,4207,2532,877,2298,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3878,615,4587,1143,19255,3060,799,553,996,15238,7544,5,96,694,6534,3861,1140,1880,2768,5546,323,3973,1317,3428,1939,1892,3681,579,902,2028,311,1973,1499,4644,8819,339,7267,2231,2397,5843,2279,281,4099,328,6147,19682,15,1519,112,4790,2632,896,2743,136
Average Time-to-Crime,8.52,9.43,8.46,8.77,11.77,8.03,12.5,9.01,9.49,8.6,7.79,15.03,17.11,9.79,9.28,7.69,8.88,8.13,8.21,8.86,9,12.09,10.78,9.45,8.86,9.35,6.61,10.09,9.25,8.61,8.6,12.78,8.9,14.81,9.52,7.65,8.5,9.06,10.25,9.81,9.01,9.73,8.24,8.24,8.85,8.06,11.61,8.93,11.23,7.45,11.09,10.3,7.27,10.2,7.91,9.65,7.28,8.68,11.82,7.47,12.9,8.57,9.78,8.43,7.29,25.28,17.64,9.03,8.59,7.75,8.75,7.41,7.34,7.99,8.81,12.47,12.04,9.17,9.29,8.76,6.2,8.93,8.92,7.02,7.29,13.12,7.99,13.08,8.81,7.47,8.17,8.17,9.79,9.62,7.94,10.34,7.79,8.59,8.22,7.26,10,8.3,11.69,6.72,10.14,9.6,6.96,9.45,7.56,8.31,7.2,8.24,11.1,7.69,11.66,8.06,7.67,7.96,7.15,20.42,15.51,9.08,8.05,7.2,7.99,7.09,7.76,7.9,9.84,11.41,10.58,8.55,8.43,7.8,5.59,10.23,8.68,6.91,6.98,12.38,7.62,11.75,8.11,7.24,7.51,8.82,9.89,9.39,7.39,9.23,6.93,8.08,7.71,6.77,7.99,7.94,8.4,7.11,9.75,8.88,6.91,8.15,6.76,8.84,5.67,6.57,10.28,6.93,10.22,6.62,6.87,7.03,5.79,21.87,17.96,8.79,6.7,6.25,7.06,6.51,6.03,6.59,8.23,9.97,8.91,5.21,7.34,5.87,5.4,8.95,7.49,6.26,7.09,10.25,6.83,10.16,6.97,7.23,5.93,6.83,9.1,8.04,7.53,8.19,5.93,7.25,6.36,5.77,7.28,7.26,8.4,5.61,8.93,9.12,5.81,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85,8.11,5.39,5.83,9.04,6.11,8.57,6.19,5.9,6.57,4.96,9.55,10.09,8,5.69,5.57,5.54,6.21,6.06,5.72,13.09,8.71,7.88,5.73,6.44,5.74,5.03,9.27,6.74,5.76,7.53,9.13,6.4,8.95,5.96,6.41,5.57,6.6,8.53,7.12,8.64,5.26,5.27,7.16,5.73,5.09,6.77,6.96,7.76,5.69,8.34,8.97,5.32,8.64
