,Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
27946,ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,1245,CTS
27947,ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,18,CTS
27948,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,10,CTS
27949,AZE,Azerbaijan,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,18,CTS
27950,BGR,Bulgaria,Europe,Eastern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,17,CTS
27951,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,107,CTS
27952,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,82,CTS/MoI
27953,BMU,Bermuda,Americas,Northern America,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,3,CTS
27954,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,43,CTS
27955,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,23,CTS
27956,BTN,Bhutan,Asia,Southern Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,0,CTS
27957,CAN,Canada,Americas,Northern America,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,267,CTS
27958,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,14,GSH 2023 Revision/CTS
27959,CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,334,CTS
27960,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,8901,GSH 2023 Revision/CTS
27961,CRI,Costa Rica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,435,CTS
27962,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,8,CTS
27963,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,43,WHO
27964,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,6,CTS
27965,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,8,WHO
27966,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,614,CTS/NGO
27967,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,505,CTS
27968,ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,65,CTS
27969,FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,6,CTS
27970,FRA,France,Europe,Western Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,64,WHO
27971,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,62,CTS
27972,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,2,GSH 2023 Revision/CTS
27973,GRC,Greece,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,22,CTS
27974,GRD,Grenada,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,0,CTS
27975,GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,1402,CTS
27976,GUY,Guyana,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,22,CTS
27977,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,2807,CTS
27978,HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,24,CTS
27979,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,0,CTS
27980,ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,0,CTS
27981,JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,1344,CTS
27982,JPN,Japan,Asia,Eastern Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,3,WHO
27983,KAZ,Kazakhstan,Asia,Central Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,64,WHO/CTS
27984,KEN,Kenya,Africa,Sub-Saharan Africa,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,184,CTS
27985,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,19,CTS
27986,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,32,CTS
27987,LKA,Sri Lanka,Asia,Southern Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,52,CTS
27988,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,7,WHO
27989,MDA,Republic of Moldova,Europe,Eastern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,9,CTS
27990,MEX,Mexico,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,21920,CTS
27991,MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,4,CTS
27992,MNE,Montenegro,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,12,CTS
27993,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,2,CTS
27994,OMN,Oman,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,0,CTS
27995,PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,266,PPR/CTS
27996,PER,Peru,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,984,CTS
27997,SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,3007,CTS
27998,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,32,GSH 2023 Revision/CTS
27999,SUR,Suriname,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,8,CTS
28000,SVK,Slovakia,Europe,Eastern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,10,GSH 2023 Revision/CTS
28001,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,3,CTS
28002,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,377,NGO
28003,URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,170,CTS
28004,USA,United States of America,Americas,Northern America,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,11020,CTS/NSO
28005,UZB,Uzbekistan,Asia,Central Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,7,CTS
28006,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,Counts,24,CTS
28007,ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,1214,CTS
28008,ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,6,CTS
28009,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,3,CTS
28010,AZE,Azerbaijan,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,15,CTS
28011,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,81,CTS
28012,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,96,CTS/MoI
28013,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,46,CTS
28014,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,18,CTS
28015,BTN,Bhutan,Asia,Southern Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,0,CTS
28016,CAN,Canada,Americas,Northern America,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,251,CTS
28017,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,13,GSH 2023 Revision/CTS
28018,CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,377,CTS
28019,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,8116,GSH 2023 Revision/CTS
28020,CRI,Costa Rica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,401,CTS
28021,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,37,WHO
28022,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,7,CTS
28023,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,3,WHO
28024,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,529,CTS/NGO
28025,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,469,CTS
28026,ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,49,CTS
28027,FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,12,CTS
28028,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,32,CTS
28029,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,2,GSH 2023 Revision/CTS
28030,GRC,Greece,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,35,CTS
28031,GRD,Grenada,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,3,CTS
28032,GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,1131,CTS
28033,GUY,Guyana,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,20,CTS
28034,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,2655,CTS
28035,HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,5,CTS
28036,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,13,CTS
28037,ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,0,CTS
28038,JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,1015,CTS
28039,JOR,Jordan,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,35,CTS
28040,JPN,Japan,Asia,Eastern Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,4,WHO
28041,KEN,Kenya,Africa,Sub-Saharan Africa,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2018,Counts,46,CTS
