,Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
87388,ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",2.8260375711821,CTS
87389,ARM,Armenia,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",0.631153085128876,CTS
87390,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",10.9746595111887,CTS
87391,AZE,Azerbaijan,Asia,Western Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",0.17872094779293,CTS
87392,BGR,Bulgaria,Europe,Eastern Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",0.236688730233184,CTS
87393,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",26.81569846123,CTS
87394,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",21.8845536418433,CTS/MoI
87395,BMU,Bermuda,Americas,Northern America,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",4.74120900829712,CTS
87396,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",0.376020918655832,CTS
87397,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",8.23820593365737,CTS
87398,BTN,Bhutan,Asia,Southern Asia,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",0,CTS
87399,CAN,Canada,Americas,Northern America,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",0.730419265035174,CTS
87400,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",0.165647402701969,GSH 2023 Revision/CTS
87401,CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,by mechanisms,Firearms or explosives,Total,Total,2017,"Rate per 100,000 population",1.81832267137514,CTS
