,incident_id,weapon_id,weapon_type,gun_class,gun_type
510,318,519,gun,LG,shotgun
513,319,522,gun,UG,
514,320,523,gun,UG,
515,321,524,gun,HG,semiautomatic handgun
518,323,527,gun,HG,semiautomatic handgun
520,324,529,gun,LG,rifle
521,324,530,gun,HG,handgun
523,326,532,gun,UG,
525,328,534,gun,HG,semiautomatic handgun
526,329,535,gun,UG,
531,333,541,gun,HG,handgun
532,334,542,gun,HG,semiautomatic handgun
533,335,543,gun,HG,handgun
535,337,545,gun,UG,
536,338,546,gun,UG,
538,340,548,gun,LG,semiautomatic rifle
539,340,549,gun,LG,shotgun
540,340,550,gun,HG,semiautomatic handgun
541,341,551,gun,LG,rifle
542,342,552,gun,LG,semiautomatic rifle
543,342,553,gun,LG,semiautomatic rifle
544,342,554,gun,LG,semiautomatic rifle
545,342,555,gun,LG,semiautomatic rifle
546,342,556,gun,LG,semiautomatic rifle
547,342,557,gun,LG,semiautomatic rifle
548,342,558,gun,LG,semiautomatic rifle
549,342,559,gun,LG,semiautomatic rifle
550,342,560,gun,LG,semiautomatic rifle
551,342,561,gun,LG,semiautomatic rifle
552,342,562,gun,LG,semiautomatic rifle
553,342,563,gun,LG,semiautomatic rifle
554,342,564,gun,LG,semiautomatic rifle
555,342,565,gun,LG,semiautomatic rifle
556,342,566,gun,LG,semiautomatic rifle
557,342,567,gun,LG,semiautomatic rifle
558,342,568,gun,LG,semiautomatic rifle
559,342,569,gun,LG,semiautomatic rifle
560,342,570,gun,LG,semiautomatic rifle
561,342,571,gun,LG,semiautomatic rifle
562,342,572,gun,LG,semiautomatic rifle
563,342,573,gun,LG,semiautomatic rifle
564,342,574,gun,LG,rifle
565,342,575,gun,HG,revolver
567,344,577,gun,LG,semiautomatic rifle
568,345,578,gun,HG,handgun
570,346,580,gun,LG,shotgun
572,347,582,gun,LG,semiautomatic rifle
574,349,584,gun,LG,semiautomatic rifle
575,349,585,gun,LG,semiautomatic rifle
576,349,586,gun,HG,semiautomatic handgun
577,349,587,gun,HG,semiautomatic handgun
578,350,588,gun,UG,
579,351,589,gun,HG,semiautomatic handgun
580,351,590,gun,LG,semiautomatic rifle
581,351,591,gun,LG,rifle
582,352,592,gun,HG,handgun
583,353,593,gun,LG,semiautomatic rifle
584,354,594,gun,HG,handgun
585,355,595,gun,LG,semiautomatic rifle
586,356,596,gun,HG,semiautomatic handgun
587,357,597,gun,LG,shotgun
588,357,598,gun,HG,revolver
589,358,599,gun,HG,semiautomatic handgun
590,359,600,gun,LG,rifle
591,359,601,gun,LG,rifle
592,359,602,gun,LG,shotgun
593,359,603,gun,LG,shotgun
594,359,604,gun,HG,handgun
595,360,605,gun,LG,shotgun
596,361,606,gun,UG,
597,362,607,gun,HG,handgun
598,363,608,gun,HG,revolver
599,364,609,gun,HG,handgun
