state,2017,2018,2019,2020,2021,2022,2017-2022,state
AL,13332.0,13024.0,15348.0,15840.0,17694.0,21038.0,96276.0,Alabama
AK,2150.0,2020.0,2266.0,1690.0,1594.0,2400.0,12120.0,Alaska
AZ,13276.0,16502.0,17966.0,22042.0,24226.0,28038.0,122050.0,Arizona
AR,3050.0,4630.0,7032.0,6778.0,7082.0,6988.0,35560.0,Arkansas
CA,83054.0,84976.0,83766.0,90492.0,108676.0,112524.0,563488.0,California
CO,9810.0,10828.0,11274.0,13230.0,14102.0,15834.0,75078.0,Colorado
CT,2718.0,2938.0,2846.0,2286.0,3234.0,3834.0,17856.0,Connecticut
DE,2228.0,2194.0,2448.0,3012.0,3356.0,3352.0,16590.0,Delaware
DC,4202.0,4190.0,4268.0,4478.0,4728.0,6158.0,28024.0,District of Columbia
FL,42176.0,46916.0,48136.0,54268.0,68982.0,72670.0,333148.0,Florida
GA,30380.0,32116.0,34014.0,38552.0,40944.0,45312.0,221318.0,Georgia
HI,278.0,352.0,520.0,300.0,230.0,574.0,2254.0,Hawaii
ID,2708.0,2706.0,2650.0,2516.0,2752.0,2990.0,16322.0,Idaho
IL,28074.0,28124.0,30972.0,29972.0,38376.0,39412.0,194930.0,Illinois
IN,16400.0,16986.0,17078.0,18174.0,20698.0,22640.0,111976.0,Indiana
IA,4394.0,5154.0,5036.0,5166.0,5152.0,6392.0,31294.0,Iowa
KS,5898.0,6792.0,6170.0,7364.0,8606.0,9042.0,43872.0,Kansas
KY,11692.0,11694.0,13994.0,11964.0,13624.0,15048.0,78016.0,Kentucky
LA,20314.0,19646.0,21332.0,22234.0,27646.0,32470.0,143642.0,Louisiana
ME,774.0,882.0,1062.0,1248.0,1026.0,2796.0,7788.0,Maine
MD,17296.0,22192.0,18930.0,18160.0,19714.0,22274.0,118566.0,Maryland
MA,3886.0,3958.0,3866.0,3674.0,6444.0,7330.0,29158.0,Massachusetts
MI,13606.0,12072.0,13950.0,22846.0,24658.0,20290.0,107422.0,Michigan
MN,7324.0,7818.0,8224.0,8144.0,9210.0,10654.0,51374.0,Minnesota
MS,8808.0,8410.0,8088.0,9262.0,9488.0,10716.0,54772.0,Mississippi
MO,13082.0,17380.0,20720.0,19306.0,20426.0,20318.0,111232.0,Missouri
MT,1596.0,1894.0,1634.0,2684.0,2376.0,2610.0,12794.0,Montana
NE,3526.0,3980.0,3606.0,4362.0,4480.0,4282.0,24236.0,Nebraska
NV,10092.0,7034.0,11152.0,12414.0,13470.0,11918.0,66080.0,Nevada
NH,598.0,956.0,824.0,1316.0,1410.0,1420.0,6524.0,New Hampshire
NJ,8004.0,8068.0,8618.0,8450.0,9370.0,10496.0,53006.0,New Jersey
NM,4180.0,5102.0,6864.0,7212.0,8228.0,7910.0,39496.0,New Mexico
NY,18302.0,15378.0,14726.0,14508.0,20620.0,23974.0,107508.0,New York
NC,29318.0,29826.0,33660.0,38254.0,46208.0,50170.0,227436.0,North Carolina
ND,1130.0,1330.0,1414.0,1660.0,1556.0,1664.0,8754.0,North Dakota
OH,25496.0,25856.0,27706.0,33124.0,41652.0,41040.0,194874.0,Ohio
OK,7068.0,5830.0,5620.0,6868.0,10604.0,11314.0,47304.0,Oklahoma
OR,8736.0,9718.0,10544.0,10576.0,10918.0,11172.0,61664.0,Oregon
PA,21548.0,22132.0,24348.0,28088.0,30740.0,35086.0,161942.0,Pennsylvania
PR,1976.0,1812.0,2256.0,900.0,1694.0,10294.0,18932.0,Puerto Rico
RI,936.0,1020.0,820.0,836.0,1332.0,2034.0,6978.0,Rhode Island
SC,12846.0,14034.0,14200.0,18686.0,21426.0,24212.0,105404.0,South Carolina
SD,1360.0,1478.0,1372.0,1592.0,1664.0,1858.0,9324.0,South Dakota
TN,22336.0,23964.0,25056.0,26390.0,31062.0,34364.0,163172.0,Tennessee
TX,55916.0,59668.0,58390.0,76788.0,91236.0,112932.0,454930.0,Texas
VI,244.0,196.0,176.0,456.0,146.0,110.0,1328.0,Virgin Islands
UT,3336.0,4212.0,5020.0,5624.0,6060.0,6906.0,31158.0,Utah
VT,310.0,504.0,364.0,642.0,486.0,598.0,2904.0,Vermont
VA,20042.0,20312.0,22248.0,24300.0,24368.0,28930.0,140200.0,Virginia
WA,10204.0,10240.0,10976.0,10826.0,11172.0,12382.0,65800.0,Washington
WV,3900.0,3584.0,4386.0,4440.0,3396.0,4208.0,23914.0,West Virginia
WI,9592.0,9930.0,9896.0,11848.0,14124.0,16014.0,71404.0,Wisconsin
WY,578.0,456.0,610.0,522.0,596.0,680.0,3442.0,Wyoming
