Iso3_code,2017,2018,2019,2020,2021,2022,2017-2022,country
ALB,44.0,46.0,47.0,41.0,50.0,32.0,260.0,Albania
ARE,,,0.0,,4.0,,4.0,United Arab Emirates
ARG,1245.0,1214.0,1128.0,1209.0,1095.0,1049.0,6940.0,Argentina
ARM,18.0,6.0,20.0,,,,44.0,Armenia
ATG,10.0,3.0,2.0,3.0,4.0,8.0,30.0,Antigua and Barbuda
AUS,23.0,25.0,38.0,20.0,25.0,27.0,158.0,Australia
AUT,16.0,8.0,9.0,12.0,16.0,13.0,74.0,Austria
AZE,18.0,15.0,19.0,18.0,17.0,,87.0,Azerbaijan
BGR,17.0,,,,,,17.0,Bulgaria
BHS,107.0,81.0,79.0,58.0,104.0,117.0,546.0,Bahamas
BIH,23.0,15.0,21.0,12.0,14.0,16.0,101.0,Bosnia and Herzegovina
BLZ,82.0,96.0,91.0,79.0,91.0,91.0,530.0,Belize
BMU,3.0,3.0,0.0,2.0,3.0,,11.0,Bermuda
BOL,43.0,46.0,33.0,23.0,37.0,47.0,229.0,Bolivia
BRA,,,,34003.0,,,34003.0,Brazil
BRB,23.0,18.0,31.0,26.0,17.0,33.0,148.0,Barbados
BTN,0.0,0.0,0.0,0.0,,,0.0,Bhutan
CAN,267.0,251.0,264.0,279.0,298.0,342.0,1701.0,Canada
CHE,14.0,13.0,11.0,9.0,8.0,12.0,67.0,Switzerland
CHL,334.0,377.0,353.0,505.0,433.0,713.0,2715.0,Chile
COL,8901.0,8116.0,8105.0,8324.0,9403.0,9403.0,52252.0,Colombia
CPV,12.0,11.0,,,,,23.0,Cabo Verde
CRI,435.0,401.0,380.0,405.0,428.0,,2049.0,Costa Rica
CYP,2.0,2.0,2.0,3.0,5.0,2.0,16.0,Cyprus
CZE,8.0,,9.0,5.0,8.0,10.0,40.0,Czechia
DEU,43.0,37.0,40.0,54.0,,,174.0,Germany
DMA,6.0,7.0,7.0,7.0,1.0,,28.0,Dominica
DNK,8.0,3.0,,,,,11.0,Denmark
DOM,614.0,529.0,464.0,485.0,680.0,755.0,3527.0,Dominican Republic
DZA,53.0,38.0,36.0,58.0,62.0,43.0,290.0,Algeria
ECU,505.0,469.0,652.0,807.0,1825.0,4062.0,8320.0,Ecuador
ESP,65.0,49.0,53.0,37.0,39.0,50.0,293.0,Spain
FIN,6.0,12.0,5.0,,,,23.0,Finland
FRA,64.0,,,,,,64.0,France
GBR_E_W,62.0,32.0,,,29.0,,123.0,United Kingdom
GBR_NI,2.0,2.0,5.0,3.0,4.0,3.0,19.0,United Kingdom
GBR_S,2.0,3.0,1.0,3.0,1.0,,10.0,United Kingdom
GEO,,32.0,,,,,32.0,Georgia
GRC,22.0,35.0,25.0,27.0,28.0,33.0,170.0,Greece
GRD,0.0,3.0,0.0,2.0,0.0,,5.0,Grenada
GTM,1402.0,1131.0,1060.0,617.0,605.0,,4815.0,Guatemala
GUY,22.0,20.0,33.0,27.0,24.0,,126.0,Guyana
HKG,0.0,2.0,0.0,0.0,0.0,0.0,2.0,Hong Kong
HND,2807.0,2655.0,3008.0,2729.0,2952.0,,14151.0,Honduras
HRV,24.0,5.0,15.0,12.0,7.0,9.0,72.0,Croatia
HUN,0.0,13.0,3.0,7.0,2.0,4.0,29.0,Hungary
ISL,0.0,0.0,0.0,0.0,1.0,,1.0,Iceland
ITA,,,,102.0,91.0,119.0,312.0,Italy
JAM,1344.0,1015.0,1119.0,1118.0,1250.0,1264.0,7110.0,Jamaica
JOR,47.0,35.0,48.0,34.0,27.0,48.0,239.0,Jordan
JPN,3.0,4.0,4.0,,,,11.0,Japan
KAZ,64.0,,,70.0,,,134.0,Kazakhstan
KEN,184.0,46.0,,,32.0,45.0,307.0,Kenya
KNA,19.0,16.0,9.0,6.0,12.0,,62.0,St. Kitts and Nevis
KOR,,,,,0.0,,0.0,South Korea
LCA,32.0,22.0,31.0,40.0,47.0,55.0,227.0,St. Lucia
LKA,52.0,74.0,48.0,,,,174.0,Sri Lanka
LTU,7.0,4.0,2.0,3.0,,,16.0,Lithuania
MAR,5.0,7.0,34.0,,2.0,9.0,57.0,Morocco
MDA,9.0,10.0,11.0,7.0,,,37.0,Moldova
MEX,21920.0,25701.0,25871.0,25639.0,24500.0,22315.0,145946.0,Mexico
MKD,16.0,,12.0,4.0,5.0,2.0,39.0,North Macedonia
MLT,4.0,1.0,3.0,4.0,0.0,,12.0,Malta
MNE,12.0,8.0,13.0,13.0,7.0,13.0,66.0,Montenegro
MNG,2.0,0.0,0.0,0.0,3.0,,5.0,Mongolia
MUS,,,,,2.0,0.0,2.0,Mauritius
NIC,187.0,402.0,219.0,,137.0,,945.0,Nicaragua
NLD,36.0,32.0,33.0,32.0,34.0,38.0,205.0,Netherlands
NZL,11.0,12.0,61.0,,,,84.0,New Zealand
OMN,0.0,0.0,3.0,,,3.0,6.0,Oman
PAN,266.0,294.0,365.0,402.0,445.0,,1772.0,Panama
PER,984.0,1081.0,751.0,978.0,,,3794.0,Peru
PHL,3256.0,1701.0,1218.0,,,,6175.0,Philippines
PRY,349.0,297.0,350.0,288.0,322.0,,1606.0,Paraguay
PSE,,,,,19.0,,19.0,Palestine
SLV,3007.0,2601.0,1754.0,926.0,706.0,303.0,9297.0,El Salvador
SRB,32.0,43.0,26.0,21.0,12.0,17.0,151.0,Serbia
SUR,8.0,20.0,10.0,13.0,16.0,21.0,88.0,Suriname
SVK,10.0,6.0,15.0,3.0,3.0,4.0,41.0,Slovakia
SVN,3.0,2.0,6.0,0.0,0.0,3.0,14.0,Slovenia
SWE,40.0,43.0,45.0,48.0,45.0,63.0,284.0,Sweden
SWZ,,,,,17.0,,17.0,Eswatini
TJK,,,,6.0,,,6.0,Tajikistan
TTO,377.0,416.0,433.0,312.0,,,1538.0,Trinidad and Tobago
UGA,171.0,,,249.0,303.0,,723.0,Uganda
URY,170.0,298.0,246.0,219.0,184.0,233.0,1350.0,Uruguay
USA,11020.0,10488.0,10539.0,13624.0,,,45671.0,United States
UZB,7.0,3.0,4.0,,,,14.0,Uzbekistan
VAT,,,,,0.0,0.0,0.0,Vatican
VCT,24.0,22.0,10.0,18.0,21.0,,95.0,St. Vincent and the Grenadines
