,incident_id,date,city,county,state,num_offenders,num_victims_killed,num_victims_injured,firstcod,secondcod,ak_47_pattern,ar_15_pattern,type,situation_type,location_type,location,gis_code,longitude,latitude,narrative
45,543,2022-11-22,Chesapeake,Chesapeake city,VA,1,6,6,Shooting,,False,False,Public,,Commercial/Retail/Entertainment,Commercial/Retail,51550021010.0,-76.25506,36.70788,"A gunman, an employee of the Chesapeake Walmart, opened fire in the store shortly before closing, killing six and wounding four others. According to the police, the shooting occurred in the break room and victimized the assailant’s co-workers. The assailant died apparently by suicide. "
46,541,2022-11-20,Colorado Springs,El Paso County,CO,1,5,17,Shooting,,False,False,Public,Hate,Commercial/Retail/Entertainment,Bar/Club/Restaurant,8041000104.0,-104.7582,38.88104,"Five people were killed and 25 injured at an LGBTQ+ night club. Anderson Lee Aldrich, 22, pleaded guilty and received multiple life sentences."
47,542,2022-11-20,Hennessey,Kingfisher County,OK,1,4,1,Shooting,,False,False,Other,,Commercial/Retail/Entertainment,Commercial/Retail,40073958100.0,-98.09125,36.14123,Deputies responding to reports of a hostage situation and shooting at a marijuana growing facility found four people dead and one injured. Wu Chen has been charged in the murders. He has been denied bail and is awaiting trial.
48,540,2022-11-18,Richmond,Chesterfield County,VA,1,4,0,Shooting,,False,False,Family,,Residence/Other shelter,Residence,51041100815.0,-77.46759,37.39593,"A woman and her three children were fatally shot in their home. Jonah Adams, the woman’s ex-boyfriend, was arrested in connection to the homicides. Two of the slain children were his. "
51,536,2022-11-04,La Plata,Charles County,MD,1,4,0,Shooting,,False,False,Family,,Residence/Other shelter,Residence,24017851004.0,-76.95524,38.53813,"Responding to a 911 call about a shooting, the police found five adults dead in a case of murder-suicide."
52,537,2022-11-04,Orlando,Orange County,FL,1,4,1,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,12095016723.0,-81.24076,28.56131, A man shot three women and a 4-year-old girl to death and wounded another before self-inflicting a non-fatal gunshot wound.
53,535,2022-10-30,Aurora,Arapahoe County,CO,1,4,0,Shooting,,False,False,Family,,Residence/Other shelter,Residence,8005007201.0,-104.8682,39.73014,"Three men and one woman were found shot to death inside an Aurora, CO home. The police indicated that the suspected assailant was under a restraining order requiring him to stay away from the residence. The assailant’s ex-girlfriend was not home at the time of the shooting. Joseph Mario Castorena was subsequently arrested in Mexico for extradition back to Colorado to face charges. "
54,534,2022-10-27,Broken Arrow,Tulsa County,OK,1,7,0,Shooting,Smoke inhalation & burns,False,False,Family,Despondency,Residence/Other shelter,Residence,40143007415.0,-95.8026,36.04835,"Two adults and six children were found dead inside a burning home. According to the police, the children had been shot, while the adults are suspected of suicide. "
55,533,2022-10-21,Hartland,Waukesha County,WI,1,5,0,Shooting,Smoke inhalation & burns,False,False,Family,,Residence/Other shelter,Residence,55133203602.0,-88.32893,43.09712,"According to the police, six people found dead in an apartment fire had been shot, one by his own hand. "
56,531,2022-10-17,Woodbridge,Prince William County,VA,1,4,0,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,51153901203.0,-77.338629,38.65188,"Four people were found shot to death inside a home in Prince William County, VA in what the police characterized as a “domestic related” incident. David Nathaniel Maine has been arrested and is awaiting trial. "
58,529,2022-10-13,Raleigh,Wake County,NC,1,5,2,Shooting,,False,False,Public,,Open space,Open space,37183054119.0,-78.53672,35.81349,"Five people were fatally shot (including an off-duty police officer) and three others were injured. A juvenile, 16-year-old Austin Thompson, was arrested in connection to the crime. The prosecutor is planning to try him as an adult. "
59,528,2022-10-09,Inman,Spartanburg County,SC,1,5,0,Shooting,,False,False,Other,,Residence/Other shelter,Residence,45083022806.0,-82.07473,35.0191,"Five people living in a South Carolina drug house were found shot to death. James Drayton, who had stayed at the house for a short period of time, was arrested in Georgia in connection to the shooting. "
60,532,2022-10-09,Henryetta,Okmulgee County,OK,1,4,0,Shooting,,False,False,Suspected felony,,Open space,Open space,40111000902.0,-96.01152,35.43975,"Four friends disappeared and their remains were found days later in a river. According to police, they had been shot at a scrapyard before being dismembered and dumped in the river. "
61,527,2022-10-07,Fort Worth,Tarrant County,TX,1,4,0,Shooting,,False,False,Felony,Drug trade,Vehicle,Vehicle,48439104604.0,-97.290143,32.71799,"Four people were shot inside a vehicle. Three were dead on the scene, and the fourth died at the hospital. The police say it appeared to be a robbery associated with drug trade. "
62,526,2022-10-03,Dos Palos,Merced County,CA,1,4,1,Shooting,Stabbing,False,False,Suspected felony,Robbery,Open space,Open space,6047002401.0,-120.60027,37.08309,"According to the Merced County Sheriff, a family of four was robbed and then kidnapped from their place of business--an incident that was reportedly captured on surveillance video. The three adults were subsequently found dead in a remote open field. According to the authorities, the 8-month-old girl  was left for dead and died from exposure.” Jesus Manuel Salgado was arrested in connection to the incident."
63,525,2022-09-29,McGregor,McLennan County,TX,1,5,0,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,48309003902.0,-97.40554,31.43305,"Jaimes-Hernandez allegedly shot and killed his wife, her two children plus their two neighbors. He was arrested and is awaiting trial. "
64,522,2022-09-09,Elk Mills,Cecil County,MD,1,4,0,Shooting,,False,False,Family,Family issue,Residence/Other shelter,Residence,24015030501.0,-75.83676,39.66109,"Responding to a report of gunshots inside a home, the police found a man shot dead in a detached garage with a semiautomatic handgun near him. They then entered the residence where they found a woman and three children shot in various locations inside the house. The incident is considered a murder-suicide."
66,519,2022-08-05,Dayton,Montgomery County,OH,1,4,0,Shooting,,False,False,Felony,Robbery,Residence/Other shelter,Residence,39113110201.0,-84.21589,39.85025,"After creating a video describing his grievances, Stephen Marlow allegedly shot and killed four victims in two separate homes. He was arrested in Kansas and was extradited back to Ohio. Marlow has been charged and is awaiting trial."
67,518,2022-08-04,Laurel,Cedar County,NE,2,4,0,Shooting,Smoke inhalation & burns,False,False,Suspected felony,Profit,Residence/Other shelter,Residence,31027977200.0,-97.06664,42.4291,"Jason Jones allegedly killed neighbors in two separate homes three blocks apart. The victims were shot and both homes were set on fire with an accelerant. Jones is charged with four counts of first-degree murder, two counts of first-degree arson and four counts of use of a firearm to commit a felony. Authorities allege that Jones was engaged in a burglary attempt. Jones was charged and is awaiting trial."
