,2017,2018,2019,2020,2021,2022,2017-2022,state
AZ,2,2,2,0,2,0,8,Arizona
CA,2,4,14,2,8,8,38,California
FL,4,4,2,0,2,4,16,Florida
IL,4,0,4,2,4,2,16,Illinois
LA,2,0,2,2,0,0,6,Louisiana
MO,2,2,4,2,0,0,10,Missouri
MS,6,0,2,2,2,2,14,Mississippi
NC,2,0,0,6,2,2,12,North Carolina
NJ,2,2,2,2,0,0,8,New Jersey
NM,2,0,2,0,0,0,4,New Mexico
NV,2,0,0,0,0,0,2,Nevada
OH,2,0,8,2,2,2,16,Ohio
OR,2,0,0,0,4,0,6,Oregon
TX,6,8,8,0,6,12,40,Texas
WA,2,0,2,0,2,0,6,Washington
WI,2,0,2,4,0,4,12,Wisconsin
AK,0,0,0,2,0,0,2,Alaska
AL,0,0,2,2,0,0,4,Alabama
AR,0,0,0,2,0,2,4,Arkansas
CO,0,0,0,0,6,4,10,Colorado
CT,0,0,0,0,0,0,0,Connecticut
DE,0,2,0,0,0,0,2,Delaware
GA,0,0,2,0,2,0,4,Georgia
HI,0,0,0,0,0,0,0,Hawaii
IA,0,0,0,0,0,0,0,Iowa
ID,0,0,0,0,0,0,0,Idaho
IN,0,0,0,2,6,0,8,Indiana
KS,0,0,2,0,0,0,2,Kansas
KY,0,2,0,0,0,0,2,Kentucky
MA,0,0,2,0,0,0,2,Massachusetts
MD,0,2,0,0,2,4,8,Maryland
ME,0,0,0,0,0,0,0,Maine
MI,0,2,0,4,4,2,12,Michigan
MN,0,0,0,0,2,2,4,Minnesota
MT,0,0,0,0,0,0,0,Montana
ND,0,0,2,0,0,0,2,North Dakota
NE,0,0,0,0,0,2,2,Nebraska
NH,0,0,0,0,0,0,0,New Hampshire
NY,0,0,0,0,0,2,2,New York
OK,0,0,0,0,2,8,10,Oklahoma
PA,0,8,2,0,0,0,10,Pennsylvania
RI,0,0,0,0,0,0,0,Rhode Island
SC,0,0,0,0,2,2,4,South Carolina
SD,0,0,0,0,0,0,0,South Dakota
TN,0,4,0,0,2,0,6,Tennessee
UT,0,0,0,2,0,0,2,Utah
VA,0,0,2,0,0,8,10,Virginia
VT,0,0,0,0,0,0,0,Vermont
WV,0,0,0,4,0,0,4,West Virginia
WY,0,0,0,0,0,0,0,Wyoming
